artist_id,artist_latitude,artist_location,artist_longitude,artist_name,danceability,duration,energy,key,key_confidence,loudness,mode,mode_confidence,release,song_hotttnesss,song_id,tempo,title,track_id,year
ARK7ZPW1187B99C170,40.71455,"New York, NY",-74.00712,Maria Callas/Eugenio Fernandi/Elisabeth Schwarzkopf/Giuseppe Nessi/Nicola Zaccaria/Mario Borriello/Renato Ercolani/Piero de Palma/Giulio Mauri/Elisabetta Fusco/Pinuccia Perotti/Coro del Teatro alla Scala_ Milano/Orchestra del Teatro alla Scala_ Milano/Tul,0.0,172.90404,0.0,2,0.344,-13.963,1,0.488,Callas Sings Puccini,-1.0,SOAQMCT12A8C1350DE,109.721,Turandot (2008 Digital Remaster)_ Act III - Scene I: Nessum dorma!,TRBBLXX128F92C3D8C,0
ARK7ZPW1187B99C170,40.71455,"New York, NY",-74.00712,Maria Callas/Giuseppe di Stefano/Ettore Bastianini/Silvana Zanolli/Luisa Mandelli/Giuseppe Zampieri/Arturo La Porta/Antonio Zerbini/Silvio Maionica/Coro e Orchestra del Teatro alla Scala_ Milano/Carlo Maria Giulini,0.0,112.14322,0.0,11,0.094,-20.02,1,0.438,Verdi - La Traviata (Highlights),-1.0,SOAWJZF12A6D4F7DE1,96.775,La Traviata - highlights (1990 Digital Remaster): Ah_ non più (Alfredo/Violetta),TRATMXM128F1457ACB,0
AR1X2H01187B98CCF2,0.0,"Menilmontant, France",0.0,Maurice Chevalier / Françoise Dorin / Marina Hottine / Suzanne Gabriello / Jo Charrier / Marcel Carpentier / Perrette Souplex / Andree Grandjean / Cadet Rivers / Raymond Girerd / Orchestre De Jacques-Henri Rys / Jacques Henri Rys,0.0,213.55057,0.0,7,0.1,-20.541,0,0.244,Christiné: Dede,-1.0,SOEBDOL12AB0189C81,164.618,Dialogue et final si j'avais su,TRATESI128F932F694,0
ARK7ZPW1187B99C170,40.71455,"New York, NY",-74.00712,Maria Callas/Gianni Raimondi/Gabriella Carturan/Plinio Clabassi/Nicola Rossi-Lemeni/Coro del Teatro alla Scala_ Milano/Noberto Mola/Orchestra del Teatro alla Scala_ Milano/Gianandrea Gavazzeni,0.0,102.68689,0.0,2,0.688,-14.447,0,0.691,Donizetti: Anna Bolena,-1.0,SOAMZKG12A8C13797C,111.643,Anna Bolena (1997 Digital Remaster): Alcun potria ascoltarti,TRBBQYU128F4269447,0
AR5R7791187FB3A8C3,0.0,NA,0.0,Alfredo Kraus/Paul Plishka/Matteo Manuguerra/Sherrill Milnes/Trinity Boys' Choir/Ambrosian Opera Chorus/National Philharmonic Orchestra/James Levine,0.0,34.55955,0.0,5,0.106,-22.785,1,0.328,Puccini: La Bohème - Highlights,-1.0,SONPHXB12A6D4FA61B,130.319,Caro! (Colline/Rodolfo/Schaunard/Children/Townspeople/Musetta) (1998 Digital Remaster),TRATRDP128F4261581,0
ARYISOC1187B9998F1,36.03256,"Nashville, Franklin, Brentwood",-86.78916,Choir & Great Symphony Orchestra of the All-Union Radio_ N. Shpiller_ S. Krassovsky_ V. Gagarina & N,0.0,541.23057,0.0,9,0.0,-15.586,1,0.0,Wolfgang Amadeus Mozart: Requiem Mass_ K 626_ 1791,-1.0,SOIJPPR12A6D4F3945,109.051,Requiem Mass_ K. 626_ 1791: Agnus Dei (Larghetto) (Mozart),TRAEEBP128EF3673A7,0
ARRJ3UC1187FB579D7,0.0,"Croix-des-Bouquets,  Haiti",0.0,Wyclef Jean featuring will.i.am and Melissa Jiménez;Wyclef Jean featuring Machel Montano_ Daniela Mercury_ Black Alex_ and Djakout Mizik,0.0,809.58649,0.0,7,0.112,-3.894,1,0.36,CARNIVAL VOL. II Memoirs of an Immigrant,-1.0,SOEPYCP12AF72A77E0,129.703,Touch Your Button Carnival Jam,TRBFTZS128F425EAAB,0
ARK7ZPW1187B99C170,40.71455,"New York, NY",-74.00712,Maria Callas/Giuseppe di Stefano/Orchestra del Teatro alla Scala_ Milano/Gianandrea Gavazzeni,0.0,233.40363,0.0,4,0.0,-16.618,0,0.199,Verdi : Un ballo in maschera,-1.0,SOCQZZN12A8C13B3F4,76.731,Un ballo in maschera (2002 Digital Remaster)_ Act 2: Oh_ qual soave brivido (Riccardo/Amelia),TRAMXNX128F4281619,0
ARNWZ1N1187B9B71BA,0.0,NA,0.0,Handsome Boy Modeling School,0.0,384.70485,0.0,11,0.474,-10.498,1,0.543,White People,0.5024496241245333,SOOJUIE12A81C212C2,118.241,Rock And Roll (Could Never Hip Hop Like This) Part 2 featuring Lord Finesse_ Mike Shonoda_ Chester Bennington_ Rahzel_ Qbert_ Grand Wizard Theodore & Jazzy Jay (Instrumental),TRBDOGK128F42372FD,2004
ARUGU0E1187B9B30F6,34.05349,"Los Angeles, California, United States",-118.24532,The Doors,0.0,298.39628,0.0,0,0.214,-27.685,0,0.227,The Lost Interview Tapes Featuring Jim Morrison - Volume Two: The Circus Magazine Interview,-1.0,SOJTAWE12A6D4F8EAC,66.155,The Trial_ Were You Scared? [The Lost Interview Tapes - Volume Two] (LP Version),TRBBIGE128F1491C45,0
