name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
SMITH,1,2376206,880.85,880.85,73.35,22.22,0.4,0.85,1.63,1.56
JOHNSON,2,1857160,688.44,1569.3,61.55,33.8,0.42,0.91,1.82,1.5
WILLIAMS,3,1534042,568.66,2137.96,48.52,46.72,0.37,0.78,2.01,1.6
BROWN,4,1380145,511.62,2649.58,60.71,34.54,0.41,0.83,1.86,1.64
JONES,5,1362755,505.17,3154.75,57.69,37.73,0.35,0.94,1.85,1.44
MILLER,6,1127803,418.07,3572.82,85.81,10.41,0.42,0.63,1.31,1.43
DAVIS,7,1072335,397.51,3970.33,64.73,30.77,0.4,0.79,1.73,1.58
GARCIA,8,858289,318.17,4288.5,6.17,0.49,1.43,0.58,0.51,90.81
RODRIGUEZ,9,804240,298.13,4586.62,5.52,0.54,0.58,0.24,0.41,92.7
WILSON,10,783051,290.27,4876.9,69.72,25.32,0.46,1.03,1.74,1.73
MARTINEZ,11,775072,287.32,5164.22,6.04,0.52,0.6,0.64,0.46,91.72
ANDERSON,12,762394,282.62,5446.83,77.6,18.06,0.48,0.7,1.59,1.58
TAYLOR,13,720370,267.04,5713.87,67.8,27.67,0.39,0.75,1.78,1.61
THOMAS,14,710696,263.45,5977.33,55.53,38.17,1.63,1.01,2,1.66
HERNANDEZ,15,706372,261.85,6239.18,4.55,0.38,0.65,0.27,0.35,93.81
MOORE,16,698671,259,6498.17,68.85,26.92,0.37,0.65,1.7,1.5
MARTIN,17,672711,249.37,6747.54,77.47,15.3,0.71,0.94,1.59,3.99
JACKSON,18,666125,246.93,6994.47,41.93,53.02,0.31,1.04,2.18,1.53
THOMPSON,19,644368,238.87,7233.34,72.48,22.53,0.44,1.15,1.78,1.62
WHITE,20,639515,237.07,7470.4,67.91,27.38,0.39,1.01,1.76,1.55
LOPEZ,21,621536,230.4,7700.81,5.85,0.61,1.04,0.47,0.52,91.51
LEE,22,605860,224.59,7925.4,40.09,17.41,37.83,1.03,2.3,1.34
GONZALEZ,23,597718,221.57,8146.97,4.76,0.37,0.38,0.18,0.33,93.99
HARRIS,24,593542,220.02,8366.99,53.88,41.63,0.36,0.65,2.02,1.45
CLARK,25,548369,203.28,8570.27,76.84,18.53,0.41,0.94,1.6,1.68
LEWIS,26,509930,189.03,8759.3,60.97,33.83,0.45,1.14,1.97,1.64
ROBINSON,27,503028,186.47,8945.77,51.34,44.1,0.37,0.51,1.99,1.68
WALKER,28,501307,185.83,9131.61,61.25,34.17,0.35,0.83,1.8,1.6
PEREZ,29,488521,181.09,9312.7,5.95,0.48,1.18,0.26,0.48,91.65
HALL,30,473568,175.55,9488.25,75.11,20.75,0.48,0.63,1.63,1.4
YOUNG,31,465948,172.73,9660.97,68.91,23.79,2.95,0.73,1.93,1.69
ALLEN,32,463368,171.77,9832.74,70.24,25.14,0.41,0.83,1.77,1.62
SANCHEZ,33,441242,163.57,9996.31,5.77,0.5,1.01,0.49,0.45,91.78
WRIGHT,34,440367,163.24,10159.55,68.3,27.36,0.4,0.66,1.75,1.52
KING,35,438986,162.73,10322.28,72.8,22.02,0.88,0.97,1.71,1.62
SCOTT,36,420091,155.73,10478.01,62.6,32.26,0.41,1.15,1.9,1.68
GREEN,37,413477,153.27,10631.29,59.33,36.23,0.34,0.61,1.78,1.71
BAKER,38,413351,153.23,10784.51,82.08,13.63,0.45,0.83,1.54,1.47
ADAMS,39,413086,153.13,10937.64,76.17,19.2,0.45,0.79,1.63,1.76
NELSON,40,412236,152.81,11090.46,80.29,14.93,0.51,1.09,1.49,1.68
HILL,41,411770,152.64,11243.1,66.83,28.42,0.42,0.91,1.78,1.64
RAMIREZ,42,388987,144.2,11387.3,4.4,0.29,0.97,0.27,0.4,93.67
CAMPBELL,43,371953,137.88,11525.18,76.47,19.13,0.43,0.65,1.67,1.65
MITCHELL,44,367433,136.21,11661.38,63.55,31.52,0.39,0.98,1.93,1.63
ROBERTS,45,366215,135.75,11797.14,79.56,15.86,0.47,0.85,1.67,1.58
CARTER,46,362548,134.4,11931.53,60.51,34.99,0.39,0.71,1.88,1.52
PHILLIPS,47,351848,130.43,12061.96,78.95,16.36,0.45,0.99,1.68,1.58
EVANS,48,342237,126.87,12188.83,70.65,25.05,0.4,0.68,1.67,1.55
TURNER,49,335663,124.43,12313.26,66.67,29.31,0.33,0.56,1.72,1.4
TORRES,50,325169,120.54,12433.8,6.05,0.58,1.42,0.26,0.53,91.16
PARKER,51,324246,120.2,12554,71.49,24.09,0.44,0.85,1.67,1.46
COLLINS,52,317848,117.83,12671.82,73.92,21.7,0.37,0.75,1.65,1.61
EDWARDS,53,317070,117.54,12789.36,65.16,30.21,0.4,0.75,1.84,1.63
STEWART,54,312899,115.99,12905.35,71.78,23.83,0.38,0.74,1.69,1.59
FLORES,55,312615,115.89,13021.23,5.57,0.47,2.15,0.43,0.54,90.84
MORRIS,56,311754,115.57,13136.8,75.92,19.29,0.43,0.93,1.7,1.73
NGUYEN,57,310125,114.96,13251.76,1.26,0.18,95.93,0.04,2.01,0.58
MURPHY,58,300501,111.39,13363.16,85.05,11.03,0.43,0.65,1.29,1.54
RIVERA,59,299463,111.01,13474.17,5.92,1.06,2.06,0.24,0.55,90.17
COOK,60,294795,109.28,13583.45,83.52,12.27,0.44,0.86,1.48,1.42
ROGERS,61,294403,109.13,13692.58,77.8,17.66,0.42,0.77,1.58,1.77
MORGAN,62,276400,102.46,13795.04,78.47,16.47,0.42,1.15,1.64,1.86
PETERSON,63,275041,101.96,13897,86.29,9.58,0.52,0.7,1.33,1.56
COOPER,64,270097,100.12,13997.12,70.36,25.26,0.4,0.76,1.69,1.54
REED,65,267443,99.14,14096.26,73.51,21.97,0.4,1,1.67,1.45
BAILEY,66,265916,98.57,14194.84,74.77,21.14,0.4,0.61,1.63,1.45
BELL,67,264752,98.14,14292.98,63.57,31.78,0.41,0.9,1.8,1.55
GOMEZ,68,263590,97.71,14390.69,6.1,0.81,1.04,0.34,0.54,91.16
KELLY,69,260385,96.52,14487.22,80.39,15.48,0.49,0.55,1.35,1.73
HOWARD,70,254779,94.45,14581.66,66.83,28.69,0.38,0.82,1.74,1.55
WARD,71,254121,94.2,14675.86,77.79,17.77,0.4,0.83,1.57,1.64
COX,72,253771,94.07,14769.94,84.48,11.55,0.39,0.64,1.42,1.52
DIAZ,73,251772,93.33,14863.27,6.17,0.73,1.19,0.22,0.47,91.22
RICHARDSON,74,249533,92.5,14955.77,62.25,32.77,0.36,1.05,1.82,1.75
WOOD,75,247299,91.67,15047.44,90.06,5.61,0.51,0.82,1.4,1.6
WATSON,76,242432,89.87,15137.31,68.58,26.85,0.47,0.8,1.72,1.58
BROOKS,77,240751,89.25,15226.56,62.72,32.67,0.41,0.75,1.83,1.62
BENNETT,78,239055,88.62,15315.17,79,16.51,0.41,0.89,1.54,1.65
GRAY,79,236713,87.75,15402.92,71.13,24.36,0.44,0.84,1.66,1.57
JAMES,80,233224,86.46,15489.38,54.45,38.09,0.81,2.51,2.1,2.04
REYES,81,232511,86.19,15575.57,5.26,0.75,6.02,0.3,0.76,86.9
CRUZ,82,231065,85.66,15661.22,5.95,0.83,5.61,0.38,0.99,86.24
HUGHES,83,229390,85.03,15746.26,80.6,15.45,0.39,0.52,1.46,1.58
PRICE,84,228756,84.8,15831.06,76.11,19.79,0.42,0.64,1.58,1.46
MYERS,85,224824,83.34,15914.4,86.59,9.75,0.38,0.53,1.35,1.4
LONG,86,223494,82.85,15997.25,82.35,11.75,1.78,1.21,1.44,1.47
FOSTER,87,221040,81.94,16079.19,72,23.19,0.46,0.86,1.78,1.7
SANDERS,88,220902,81.89,16161.07,63.44,31.9,0.33,0.85,1.73,1.76
ROSS,89,219961,81.54,16242.61,71.46,23.67,0.46,0.89,1.69,1.82
MORALES,90,217642,80.68,16323.29,5.6,0.6,1.24,0.25,0.44,91.88
POWELL,91,216553,80.28,16403.57,69.96,25.97,0.38,0.56,1.71,1.41
SULLIVAN,92,215640,79.94,16483.5,89.45,6.78,0.46,0.52,1.16,1.63
RUSSELL,93,215432,79.86,16563.36,79.45,15.79,0.43,1,1.7,1.63
ORTIZ,94,214683,79.58,16642.95,5.4,0.64,0.68,0.48,0.45,92.35
JENKINS,95,213737,79.23,16722.18,60.12,35.97,0.33,0.55,1.69,1.34
GUTIERREZ,96,212905,78.92,16801.1,5.21,0.25,1.4,0.33,0.42,92.39
PERRY,97,212644,78.83,16879.93,70.71,24.37,0.46,0.82,1.86,1.78
BUTLER,98,210879,78.17,16958.1,64.75,30.85,0.35,0.81,1.75,1.5
BARNES,99,210426,78,17036.1,67.45,28.23,0.4,0.72,1.71,1.49
FISHER,100,210279,77.95,17114.05,84.59,11.28,0.42,0.71,1.42,1.58
HENDERSON,101,210094,77.88,17191.94,62.18,33.2,0.38,0.82,1.81,1.61
COLEMAN,102,208624,77.34,17269.27,52.04,43.83,0.33,0.5,1.87,1.44
SIMMONS,103,201650,74.75,17344.02,60.55,35.26,0.35,0.61,1.74,1.5
PATTERSON,104,198557,73.6,17417.63,70.09,25.66,0.37,0.61,1.67,1.61
JORDAN,105,197212,73.11,17490.73,64.3,30.06,0.44,0.68,1.67,2.86
REYNOLDS,106,195598,72.51,17563.24,83.28,12.5,0.42,0.61,1.55,1.65
HAMILTON,107,194331,72.04,17635.28,72.79,22.65,0.44,0.78,1.73,1.61
GRAHAM,108,194074,71.94,17707.22,72.84,22.72,0.42,0.77,1.61,1.64
KIM,109,194067,71.94,17779.16,2.6,0.36,94.52,0.03,1.99,0.5
GONZALES,110,193934,71.89,17851.05,10,0.86,3.1,0.76,0.84,84.44
ALEXANDER,111,193443,71.71,17922.76,60.91,33.22,0.91,0.7,2.05,2.21
RAMOS,112,193096,71.58,17994.34,7.2,0.92,5.04,0.25,1.18,85.42
WALLACE,113,190760,70.71,18065.06,71.76,23.73,0.43,0.73,1.72,1.64
GRIFFIN,114,190636,70.67,18135.72,66.46,29.77,0.34,0.5,1.56,1.36
WEST,115,188464,69.86,18205.59,77.69,17.8,0.39,0.81,1.64,1.66
COLE,116,187793,69.61,18275.2,77.59,18.2,0.43,0.68,1.61,1.48
HAYES,117,187473,69.5,18344.7,71.64,24.05,0.38,0.73,1.71,1.48
CHAVEZ,118,185865,68.9,18413.6,5.65,0.21,0.59,1.15,0.43,91.98
GIBSON,119,184420,68.36,18481.96,74.57,21.07,0.36,0.85,1.65,1.49
BRYANT,120,183761,68.12,18550.08,60.97,34.68,0.3,0.89,1.79,1.37
ELLIS,121,181934,67.44,18617.52,72.82,22.6,0.44,0.66,1.64,1.83
STEVENS,122,181417,67.25,18684.77,83.4,11.4,0.53,1.23,1.64,1.79
MURRAY,123,178414,66.14,18750.91,77.59,18.13,0.48,0.6,1.54,1.66
FORD,124,178397,66.13,18817.04,64.28,31.4,0.37,0.61,1.84,1.51
MARSHALL,125,177213,65.69,18882.73,68.89,26.35,0.42,0.88,1.82,1.64
OWENS,126,176334,65.37,18948.1,68.09,27.86,0.31,0.71,1.69,1.35
MCDONALD,127,176094,65.28,19013.38,79.19,16.26,0.43,0.76,1.51,1.85
HARRISON,128,175577,65.09,19078.46,71,23.76,0.42,1.35,1.69,1.78
RUIZ,129,175429,65.03,19143.49,6.12,0.48,1.01,0.28,0.41,91.7
KENNEDY,130,171636,63.62,19207.12,82.97,12.98,0.46,0.62,1.4,1.57
WELLS,131,170635,63.25,19270.37,76.31,19.34,0.37,0.8,1.61,1.56
ALVAREZ,132,168817,62.58,19332.95,6.61,0.64,1.15,0.47,0.47,90.66
WOODS,133,168814,62.58,19395.53,60.68,34.66,0.35,0.84,1.92,1.55
MENDOZA,134,168567,62.49,19458.02,4.93,0.38,5.2,0.29,0.64,88.57
CASTILLO,135,165473,61.34,19519.36,5.62,0.77,3.26,0.75,0.75,88.85
OLSON,136,163502,60.61,19579.97,96.03,0.36,0.54,0.64,1.04,1.38
WEBB,137,163481,60.6,19640.57,77.74,18.36,0.38,0.62,1.5,1.41
WASHINGTON,138,163036,60.44,19701.01,5.16,89.87,0.25,0.64,2.64,1.45
TUCKER,139,162933,60.4,19761.41,72.06,23.57,0.33,0.74,1.72,1.59
FREEMAN,140,162686,60.31,19821.71,67.96,27.47,0.37,0.95,1.76,1.49
BURNS,141,162153,60.11,19881.82,82.18,13.63,0.45,0.71,1.45,1.59
HENRY,142,161392,59.83,19941.65,65.06,28.76,0.57,1.71,2,1.9
VASQUEZ,143,159989,59.31,20000.96,5.49,0.5,0.69,0.37,0.49,92.46
SNYDER,144,159363,59.08,20060.03,95.37,1.28,0.46,0.51,1.11,1.28
SIMPSON,145,158241,58.66,20118.69,73.29,22.13,0.44,0.78,1.68,1.69
CRAWFORD,146,158121,58.61,20177.31,71.31,24.47,0.4,0.69,1.69,1.45
JIMENEZ,147,157475,58.38,20235.68,4.46,0.31,1.53,0.27,0.45,92.98
PORTER,148,156848,58.14,20293.83,71.19,24.44,0.42,0.75,1.62,1.58
MASON,149,155484,57.64,20351.47,70.99,24.48,0.42,0.73,1.7,1.68
SHAW,150,155172,57.52,20408.99,74.67,20.23,1.24,0.73,1.65,1.48
GORDON,151,154934,57.43,20466.42,67.75,27.22,0.45,0.69,1.89,2
WAGNER,152,154516,57.28,20523.7,93.97,2.5,0.43,0.49,1,1.6
HUNTER,153,154410,57.24,20580.94,62.92,32.3,0.4,0.97,1.87,1.54
ROMERO,154,153772,57,20637.94,10.44,0.46,1.34,0.95,0.66,86.13
HICKS,155,153618,56.95,20694.89,69.46,26.14,0.37,0.94,1.68,1.42
DIXON,156,152015,56.35,20751.24,57.05,38.21,0.38,0.89,1.84,1.62
HUNT,157,151986,56.34,20807.58,76.03,16.33,0.48,3.93,1.68,1.55
PALMER,158,150407,55.76,20863.33,77.87,17.31,0.45,0.83,1.62,1.93
ROBERTSON,159,150299,55.72,20919.05,75.35,20.24,0.41,0.87,1.55,1.58
